structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,24.0,16.0,40.0,1.276388,1.423996,2.700384,18.803059884611887,11.235986617939938
"Globus pallidus, external segment",2.0,0.0,2.0,0.994511,1.056888,2.051399,2.0110385908250388,0.0
"Globus pallidus, internal segment",0.0,0.0,0.0,0.2462669999999999,0.2707509999999999,0.517018,0.0,0.0
"Gustatory areas, layer 1",0.0,0.0,0.0,0.0946979999999999,0.0956979999999999,0.1903959999999999,0.0,0.0
"Gustatory areas, layer 2/3",0.0,0.0,0.0,0.193462,0.2041289999999999,0.3975909999999999,0.0,0.0
"Gustatory areas, layer 4",0.0,0.0,0.0,0.073365,0.074317,0.1476819999999999,0.0,0.0
"Gustatory areas, layer 5",0.0,0.0,0.0,0.285112,0.264071,0.549183,0.0,0.0
"Gustatory areas, layer 6a",0.0,0.0,0.0,0.2143229999999999,0.1907569999999999,0.40508,0.0,0.0
"Gustatory areas, layer 6b",0.0,0.0,0.0,0.017994,0.016269,0.034263,0.0,0.0
Hippocampal formation,5.0,1.0,6.0,0.236846,0.242868,0.479714,21.11076395632605,4.117462984007774
Hippocampo-amygdalar transition area,0.0,0.0,0.0,0.198867,0.213391,0.412258,0.0,0.0
Hypoglossal nucleus,0.0,0.0,0.0,0.07077,0.0846639999999999,0.155434,0.0,0.0
Hypothalamus,15.0,10.0,25.0,1.575267,1.5858329999999998,3.1611,9.522195284989783,6.3058342208795
Induseum griseum,0.0,0.0,0.0,0.062221,0.071722,0.1339429999999999,0.0,0.0
"Inferior colliculus, central nucleus",34.0,26.0,60.0,0.628026,0.660083,1.288109,54.13788601108872,39.38898593055722
"Inferior colliculus, dorsal nucleus",18.0,21.0,39.0,0.730472,0.737088,1.46756,24.641601594585417,28.49049231570722
"Inferior colliculus, external nucleus",19.0,13.0,32.0,0.8937839999999999,0.864819,1.758603,21.25793256536255,15.032047168251392
Inferior olivary complex,0.0,0.0,0.0,0.1585329999999999,0.164773,0.323306,0.0,0.0
Inferior salivatory nucleus,0.0,0.0,0.0,0.00361,0.0037709999999999,0.0073809999999999,0.0,0.0
Infracerebellar nucleus,0.0,0.0,0.0,0.037388,0.0342569999999999,0.0716449999999999,0.0,0.0
"Infralimbic area, layer 1",0.0,0.0,0.0,0.063473,0.072514,0.135987,0.0,0.0
"Infralimbic area, layer 2/3",0.0,0.0,0.0,0.062943,0.063604,0.126547,0.0,0.0
"Infralimbic area, layer 5",0.0,0.0,0.0,0.149482,0.155406,0.304888,0.0,0.0
"Infralimbic area, layer 6a",0.0,0.0,0.0,0.0993589999999999,0.099496,0.198855,0.0,0.0
"Infralimbic area, layer 6b",0.0,0.0,0.0,0.0058369999999999,0.0051649999999999,0.0110019999999999,0.0,0.0
Interanterodorsal nucleus of the thalamus,2.0,0.0,2.0,0.067846,0.064691,0.132537,29.47852489461427,0.0
Interanteromedial nucleus of the thalamus,0.0,0.0,0.0,0.028645,0.030476,0.059121,0.0,0.0
Intercalated amygdalar nucleus,0.0,0.0,0.0,0.099132,0.0981389999999999,0.1972709999999999,0.0,0.0
Interfascicular nucleus raphe,0.0,2.0,2.0,0.0573669999999999,0.063872,0.1212389999999999,0.0,31.312625250501004
Intergeniculate leaflet of the lateral geniculate complex,6.0,3.0,9.0,0.0405979999999999,0.0406809999999999,0.0812789999999999,147.79053155327887,73.74449988938343
Intermediate geniculate nucleus,0.0,0.0,0.0,0.0134709999999999,0.013203,0.0266739999999999,0.0,0.0
Intermediate reticular nucleus,15.0,32.0,47.0,1.075862,1.143278,2.21914,13.94230858604542,27.98969279562801
Intermediodorsal nucleus of the thalamus,0.0,3.0,3.0,0.10361,0.118209,0.221819,0.0,25.378778265614294
Interpeduncular nucleus,0.0,0.0,0.0,0.006349,0.0078219999999999,0.014171,0.0,0.0
"Interpeduncular nucleus, apical",0.0,1.0,1.0,0.016751,0.021178,0.037929,0.0,47.218811974690716
"Interpeduncular nucleus, caudal",0.0,0.0,0.0,0.038259,0.0439279999999999,0.082187,0.0,0.0
"Interpeduncular nucleus, dorsolateral",0.0,0.0,0.0,0.0251969999999999,0.0240769999999999,0.049274,0.0,0.0
"Interpeduncular nucleus, dorsomedial",0.0,0.0,0.0,0.014247,0.0150129999999999,0.0292599999999999,0.0,0.0
"Interpeduncular nucleus, intermediate",0.0,1.0,1.0,0.0187309999999999,0.017842,0.0365729999999999,0.0,56.047528304001794
"Interpeduncular nucleus, lateral",0.0,0.0,0.0,0.035817,0.032145,0.067962,0.0,0.0
